"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 02월 12일","1,835.28","1,850.67","1,857.12","1,817.97","470.50M","-1.41%"
"2016년 02월 11일","1,861.54","1,872.68","1,877.77","1,858.90","386.43M","-2.93%"
"2016년 02월 05일","1,917.79","1,914.55","1,921.76","1,910.31","305.77M","0.08%"
"2016년 02월 04일","1,916.26","1,900.48","1,917.09","1,897.18","365.80M","1.35%"
"2016년 02월 03일","1,890.67","1,893.83","1,894.72","1,882.75","408.60M","-0.84%"
"2016년 02월 02일","1,906.60","1,914.96","1,920.02","1,906.06","412.27M","-0.95%"
"2016년 02월 01일","1,924.82","1,919.62","1,926.11","1,912.85","440.32M","0.67%"
"2016년 01월 29일","1,912.06","1,905.01","1,912.07","1,888.48","386.56M","0.27%"
"2016년 01월 28일","1,906.94","1,885.38","1,907.56","1,877.78","354.31M","0.48%"
"2016년 01월 27일","1,897.87","1,888.07","1,902.03","1,883.39","348.90M","1.40%"
"2016년 01월 26일","1,871.69","1,881.87","1,884.13","1,862.98","298.82M","-1.15%"
"2016년 01월 25일","1,893.43","1,890.15","1,901.22","1,882.74","315.30M","0.74%"
"2016년 01월 22일","1,879.43","1,860.30","1,879.43","1,859.54","408.46M","2.11%"
"2016년 01월 21일","1,840.53","1,848.10","1,860.02","1,838.04","433.74M","-0.27%"
"2016년 01월 20일","1,845.45","1,885.36","1,885.36","1,830.06","407.30M","-2.34%"
"2016년 01월 19일","1,889.64","1,879.80","1,889.90","1,866.76","335.32M","0.60%"
"2016년 01월 18일","1,878.45","1,856.03","1,882.21","1,854.55","276.94M","-0.02%"
"2016년 01월 15일","1,878.87","1,915.83","1,918.30","1,873.35","312.36M","-1.11%"
"2016년 01월 14일","1,900.01","1,893.18","1,900.48","1,882.02","310.98M","-0.85%"
"2016년 01월 13일","1,916.28","1,904.33","1,921.00","1,902.49","265.22M","1.34%"
"2016년 01월 12일","1,890.86","1,907.61","1,910.59","1,888.94","295.14M","-0.21%"
"2016년 01월 11일","1,894.84","1,897.18","1,907.43","1,892.69","328.77M","-1.19%"
"2016년 01월 08일","1,917.62","1,889.42","1,918.25","1,883.82","430.20M","0.70%"
"2016년 01월 07일","1,904.33","1,915.71","1,926.41","1,901.24","393.04M","-1.10%"
"2016년 01월 06일","1,925.43","1,934.25","1,934.25","1,911.61","594.61M","-0.26%"
"2016년 01월 05일","1,930.53","1,911.93","1,937.57","1,911.93","446.55M","0.61%"
"2016년 01월 04일","1,918.76","1,954.47","1,954.52","1,918.76","359.02M","-2.17%"
"2015년 12월 30일","1,961.31","1,973.03","1,974.67","1,958.78","304.46M","-0.25%"
"2015년 12월 29일","1,966.31","1,956.49","1,968.57","1,946.21","401.43M","0.11%"
"2015년 12월 28일","1,964.06","1,990.59","1,991.19","1,964.06","396.64M","-1.34%"
"2015년 12월 24일","1,990.65","2,009.34","2,009.99","1,990.65","504.62M","-0.43%"
"2015년 12월 23일","1,999.22","1,994.20","2,007.42","1,989.30","502.37M","0.33%"
"2015년 12월 22일","1,992.56","1,984.37","1,992.72","1,971.32","577.24M","0.57%"
"2015년 12월 21일","1,981.19","1,974.26","1,986.66","1,968.14","539.60M","0.30%"
"2015년 12월 18일","1,975.32","1,960.32","1,981.42","1,958.12","677.73M","-0.13%"
"2015년 12월 17일","1,977.96","1,984.06","1,987.83","1,967.64","379.57M","0.43%"
"2015년 12월 16일","1,969.40","1,950.15","1,975.63","1,950.05","475.10M","1.88%"
"2015년 12월 15일","1,932.97","1,935.82","1,938.04","1,925.75","434.74M","0.27%"
"2015년 12월 14일","1,927.82","1,926.36","1,930.40","1,919.22","439.74M","-1.07%"
"2015년 12월 11일","1,948.62","1,952.82","1,961.00","1,943.67","380.71M","-0.18%"
"2015년 12월 10일","1,952.07","1,947.21","1,956.84","1,940.40","377.85M","0.20%"
"2015년 12월 09일","1,948.24","1,951.39","1,956.70","1,944.78","378.10M","-0.04%"
"2015년 12월 08일","1,949.04","1,964.22","1,971.07","1,948.43","406.18M","-0.75%"
"2015년 12월 07일","1,963.67","1,987.62","1,988.04","1,963.66","382.13M","-0.54%"
"2015년 12월 04일","1,974.40","1,972.16","1,983.02","1,970.48","379.47M","-0.99%"
"2015년 12월 03일","1,994.07","2,000.20","2,000.20","1,981.59","365.87M","-0.76%"
"2015년 12월 02일","2,009.29","2,026.08","2,026.19","2,009.29","631.32M","-0.72%"
"2015년 12월 01일","2,023.93","2,001.51","2,026.33","2,001.51","573.34M","1.60%"
"2015년 11월 30일","1,991.97","2,022.38","2,022.38","1,987.12","452.87M","-1.82%"
"2015년 11월 27일","2,028.99","2,038.71","2,038.72","2,026.40","481.95M","-0.08%"
"2015년 11월 26일","2,030.68","2,014.88","2,033.18","2,014.88","454.46M","1.06%"
"2015년 11월 25일","2,009.42","2,018.24","2,018.93","2,007.91","391.65M","-0.34%"
"2015년 11월 24일","2,016.29","2,004.29","2,019.95","2,003.06","417.00M","0.63%"
"2015년 11월 23일","2,003.70","1,995.92","2,008.34","1,992.86","383.23M","0.70%"
"2015년 11월 20일","1,989.86","1,988.96","1,993.97","1,985.93","413.66M","0.05%"
"2015년 11월 19일","1,988.91","1,976.94","1,988.92","1,972.85","422.52M","1.33%"
"2015년 11월 18일","1,962.88","1,967.25","1,973.16","1,961.43","541.86M","-0.04%"
"2015년 11월 17일","1,963.58","1,967.36","1,974.08","1,959.22","417.56M","1.06%"
"2015년 11월 16일","1,943.02","1,945.68","1,956.09","1,942.85","433.43M","-1.53%"
"2015년 11월 13일","1,973.29","1,975.97","1,981.27","1,969.71","342.31M","-1.01%"
"2015년 11월 12일","1,993.36","1,997.32","1,998.66","1,991.28","389.44M","-0.20%"
"2015년 11월 11일","1,997.27","1,993.81","2,001.73","1,983.14","286.57M","0.03%"
"2015년 11월 10일","1,996.59","2,015.45","2,015.45","1,988.54","417.46M","-1.44%"
"2015년 11월 09일","2,025.70","2,038.59","2,038.59","2,022.52","435.39M","-0.75%"
"2015년 11월 06일","2,041.07","2,048.17","2,055.14","2,038.46","465.03M","-0.41%"
"2015년 11월 05일","2,049.41","2,049.30","2,050.44","2,039.93","349.08M","-0.16%"
"2015년 11월 04일","2,052.77","2,053.51","2,056.12","2,042.38","545.09M","0.21%"
"2015년 11월 03일","2,048.40","2,042.60","2,053.24","2,040.75","591.74M","0.65%"
"2015년 11월 02일","2,035.24","2,033.15","2,036.05","2,028.20","366.38M","0.28%"
"2015년 10월 30일","2,029.47","2,034.78","2,038.56","2,027.80","380.67M","-0.23%"
"2015년 10월 29일","2,034.16","2,050.97","2,064.72","2,032.56","481.35M","-0.41%"
"2015년 10월 28일","2,042.51","2,045.67","2,045.67","2,032.39","402.20M","-0.10%"
"2015년 10월 27일","2,044.65","2,043.52","2,045.81","2,036.22","449.16M","-0.17%"
"2015년 10월 26일","2,048.08","2,049.41","2,049.60","2,039.97","459.95M","0.38%"
"2015년 10월 23일","2,040.40","2,043.67","2,054.82","2,036.92","649.00M","0.86%"
"2015년 10월 22일","2,023.00","2,040.43","2,042.57","2,019.53","695.81M","-0.98%"
"2015년 10월 21일","2,042.98","2,039.25","2,053.95","2,035.59","668.95M","0.18%"
"2015년 10월 20일","2,039.36","2,031.50","2,040.24","2,026.67","958.06M","0.45%"
"2015년 10월 19일","2,030.27","2,032.36","2,036.30","2,022.25","726.84M","0.00%"
"2015년 10월 16일","2,030.26","2,037.98","2,038.06","2,025.19","550.80M","-0.15%"
"2015년 10월 15일","2,033.27","2,008.29","2,035.80","2,007.46","498.90M","1.18%"
"2015년 10월 14일","2,009.55","2,014.47","2,016.14","2,002.63","644.80M","-0.47%"
"2015년 10월 13일","2,019.05","2,021.20","2,024.50","2,010.16","605.00M","-0.13%"
"2015년 10월 12일","2,021.63","2,022.33","2,030.92","2,015.43","635.08M","0.10%"
"2015년 10월 08일","2,019.53","2,016.36","2,020.19","1,998.66","700.99M","0.68%"
"2015년 10월 07일","2,005.84","1,995.87","2,006.24","1,994.55","761.72M","0.76%"
"2015년 10월 06일","1,990.65","1,996.29","1,998.02","1,985.17","661.64M","0.63%"
"2015년 10월 05일","1,978.25","1,981.60","1,994.65","1,975.55","545.63M","0.44%"
"2015년 10월 02일","1,969.68","1,979.41","1,985.57","1,969.68","1.03B","-0.49%"
"2015년 10월 01일","1,979.32","1,963.55","1,986.01","1,958.63","678.98M","0.84%"
"2015년 09월 30일","1,962.81","1,915.46","1,962.84","1,915.04","546.99M","1.03%"
"2015년 09월 25일","1,942.85","1,948.30","1,951.94","1,932.49","796.57M","-0.22%"
"2015년 09월 24일","1,947.10","1,956.94","1,958.73","1,944.31","921.27M","0.13%"
"2015년 09월 23일","1,944.64","1,960.33","1,968.16","1,944.51","856.99M","-1.89%"
"2015년 09월 22일","1,982.06","1,973.54","1,983.99","1,966.05","696.37M","0.88%"
"2015년 09월 21일","1,964.68","1,973.24","1,980.80","1,960.11","376.42M","-1.57%"
"2015년 09월 18일","1,995.95","1,978.39","1,996.47","1,964.12","523.80M","0.98%"
"2015년 09월 17일","1,976.49","1,989.07","1,989.07","1,972.93","510.17M","0.05%"
"2015년 09월 16일","1,975.45","1,949.49","1,978.68","1,949.15","584.76M","1.96%"
"2015년 09월 15일","1,937.56","1,930.44","1,938.90","1,927.62","390.82M","0.32%"
"2015년 09월 14일","1,931.46","1,947.65","1,948.02","1,921.45","362.92M","-0.51%"
"2015년 09월 11일","1,941.37","1,942.88","1,951.26","1,939.73","503.01M","-1.06%"
"2015년 09월 10일","1,962.11","1,918.42","1,962.11","1,915.44","460.34M","1.44%"
"2015년 09월 09일","1,934.20","1,903.28","1,934.20","1,902.93","516.17M","2.96%"
"2015년 09월 08일","1,878.68","1,889.14","1,894.56","1,868.48","391.89M","-0.24%"
"2015년 09월 07일","1,883.22","1,883.36","1,895.99","1,870.59","288.16M","-0.15%"
"2015년 09월 04일","1,886.04","1,921.81","1,923.06","1,879.94","361.09M","-1.54%"
"2015년 09월 03일","1,915.53","1,929.78","1,931.19","1,911.17","297.28M","0.02%"
"2015년 09월 02일","1,915.22","1,886.14","1,920.62","1,883.50","342.02M","0.05%"
"2015년 09월 01일","1,914.23","1,934.44","1,939.67","1,914.22","324.48M","-1.40%"
"2015년 08월 31일","1,941.49","1,934.12","1,941.49","1,925.52","350.94M","0.20%"
"2015년 08월 28일","1,937.67","1,932.39","1,938.61","1,927.39","446.75M","1.56%"
"2015년 08월 27일","1,908.00","1,912.42","1,920.39","1,898.98","482.66M","0.73%"
"2015년 08월 26일","1,894.09","1,843.70","1,895.45","1,835.58","453.39M","2.57%"
"2015년 08월 25일","1,846.63","1,840.94","1,864.30","1,806.79","451.59M","0.92%"
"2015년 08월 24일","1,829.81","1,860.03","1,872.86","1,800.75","415.18M","-2.47%"
"2015년 08월 21일","1,876.07","1,862.79","1,886.49","1,856.91","512.31M","-2.01%"
"2015년 08월 20일","1,914.55","1,929.43","1,933.79","1,912.55","397.53M","-1.28%"
"2015년 08월 19일","1,939.38","1,954.56","1,959.51","1,915.91","506.79M","-0.86%"
"2015년 08월 18일","1,956.26","1,977.61","1,979.33","1,954.35","472.77M","-0.62%"
"2015년 08월 17일","1,968.52","1,991.05","1,991.05","1,968.44","561.57M","-0.75%"
"2015년 08월 13일","1,983.46","1,975.47","1,990.70","1,966.02","376.59M","0.40%"
"2015년 08월 12일","1,975.47","1,980.04","1,989.10","1,948.91","524.25M","-0.56%"
"2015년 08월 11일","1,986.65","2,020.15","2,021.81","1,986.46","366.41M","-0.82%"
"2015년 08월 10일","2,003.17","2,008.44","2,008.55","1,993.96","308.33M","-0.35%"
