"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 13일","25,324.99","25,568.06","25,568.06","25,222.51","361.24M","-2.38%"
"2019년 05월 10일","25,942.37","25,763.72","26,019.32","25,469.86","294.58M","0.44%"
"2019년 05월 09일","25,828.36","25,878.85","25,884.89","25,517.39","334.76M","-0.54%"
"2019년 05월 08일","25,967.33","25,933.79","26,118.10","25,889.41","276.42M","0.01%"
"2019년 05월 07일","25,965.09","26,276.90","26,276.90","25,789.71","334.96M","-1.79%"
"2019년 05월 06일","26,438.48","26,160.62","26,476.27","26,033.95","283.02M","-0.25%"
"2019년 05월 03일","26,504.95","26,379.14","26,534.96","26,370.09","248.90M","0.75%"
"2019년 05월 02일","26,307.79","26,407.15","26,454.69","26,180.36","287.61M","-0.46%"
"2019년 05월 01일","26,430.14","26,639.06","26,689.39","26,426.38","303.85M","-0.61%"
"2019년 04월 30일","26,592.91","26,594.56","26,614.04","26,419.47","340.32M","0.15%"
"2019년 04월 29일","26,554.39","26,559.87","26,602.54","26,520.75","279.45M","0.04%"
"2019년 04월 26일","26,543.33","26,454.62","26,543.56","26,392.55","317.29M","0.31%"
