"날짜","종가","오픈","고가","저가","변동 %"
"2019년 02월 01일","1.771","1.770","1.772","1.770","-0.06%"
"2019년 01월 31일","1.772","1.775","1.775","1.772","0.00%"
"2019년 01월 30일","1.772","1.775","1.775","1.772","0.00%"
"2019년 01월 29일","1.772","1.775","1.775","1.772","0.23%"
"2019년 01월 28일","1.768","1.770","1.770","1.767","0.34%"
"2019년 01월 27일","1.762","1.762","1.762","1.762","0.00%"
"2019년 01월 26일","1.762","1.762","1.762","1.762","0.00%"
"2019년 01월 25일","1.762","1.762","1.762","1.761","0.06%"
"2019년 01월 24일","1.761","1.761","1.761","1.761","0.00%"
"2019년 01월 23일","1.761","1.761","1.761","1.761","-0.17%"
"2019년 01월 22일","1.764","1.762","1.764","1.762","-0.06%"
"2019년 01월 21일","1.765","1.765","1.765","1.763","0.23%"
"2019년 01월 20일","1.761","1.761","1.761","1.761","0.00%"
"2019년 01월 19일","1.761","1.761","1.761","1.761","0.00%"
"2019년 01월 18일","1.761","1.760","1.761","1.760","0.46%"
"2019년 01월 17일","1.753","1.750","1.753","1.750","0.17%"
"2019년 01월 16일","1.750","1.750","1.750","1.750","0.29%"
"2019년 01월 15일","1.745","1.745","1.745","1.745","1.51%"
"2019년 01월 14일","1.719","1.719","1.719","1.719","0.17%"
"2019년 01월 13일","1.716","1.716","1.716","1.716","0.00%"
"2019년 01월 12일","1.716","1.716","1.716","1.716","0.18%"
"2019년 01월 11일","1.713","1.708","1.713","1.708","0.88%"
"2019년 01월 10일","1.698","1.698","1.698","1.698","0.30%"
"2019년 01월 09일","1.693","1.676","1.693","1.676","0.36%"
"2019년 01월 08일","1.687","1.687","1.687","1.687","-0.47%"
"2019년 01월 07일","1.695","1.700","1.700","1.695","-0.59%"
"2019년 01월 06일","1.705","1.705","1.705","1.705","0.00%"
"2019년 01월 05일","1.705","1.705","1.705","1.705","0.00%"
"2019년 01월 04일","1.705","1.716","1.716","1.705","-1.73%"
"2019년 01월 03일","1.735","1.735","1.735","1.735","0.00%"
"2019년 01월 02일","1.735","1.735","1.735","1.735","-0.86%"
"2019년 01월 01일","1.750","1.750","1.750","1.750","0.00%"
"2018년 12월 31일","1.750","1.750","1.750","1.750","0.00%"
"2018년 12월 30일","1.750","1.750","1.750","1.750","0.00%"
"2018년 12월 28일","1.750","1.750","1.750","1.750","0.00%"
"2018년 12월 27일","1.750","1.750","1.750","1.750","0.29%"
"2018년 12월 26일","1.745","1.742","1.745","1.742","0.63%"
"2018년 12월 25일","1.734","1.734","1.734","1.734","0.00%"
"2018년 12월 24일","1.734","1.735","1.735","1.733","0.87%"
"2018년 12월 23일","1.719","1.719","1.719","1.719","0.00%"
"2018년 12월 22일","1.719","1.719","1.719","1.719","0.00%"
"2018년 12월 21일","1.719","1.720","1.720","1.719","-0.64%"
"2018년 12월 20일","1.730","1.730","1.730","1.730","0.76%"
"2018년 12월 19일","1.717","1.712","1.717","1.712","-0.12%"
"2018년 12월 18일","1.719","1.720","1.720","1.717","-0.64%"
"2018년 12월 17일","1.730","1.730","1.731","1.730","-0.52%"
"2018년 12월 16일","1.739","1.739","1.739","1.739","0.00%"
"2018년 12월 15일","1.739","1.739","1.739","1.739","0.00%"
"2018년 12월 14일","1.739","1.739","1.739","1.739","0.87%"
"2018년 12월 13일","1.724","1.724","1.724","1.724","0.00%"
"2018년 12월 12일","1.724","1.725","1.725","1.724","-0.06%"
"2018년 12월 11일","1.725","1.725","1.725","1.725","0.29%"
"2018년 12월 10일","1.720","1.720","1.720","1.720","-1.66%"
"2018년 12월 09일","1.749","1.749","1.749","1.749","0.00%"
"2018년 12월 08일","1.749","1.749","1.749","1.749","0.00%"
