"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 08일","1,481.38","1,472.33","1,482.48","1,468.12","-","0.25%"
"2019년 04월 05일","1,477.65","1,475.14","1,478.10","1,467.02","-","0.80%"
"2019년 04월 04일","1,465.89","1,460.02","1,475.27","1,458.90","-","0.12%"
"2019년 04월 03일","1,464.19","1,451.65","1,476.61","1,450.60","-","2.27%"
"2019년 04월 02일","1,431.63","1,431.55","1,434.85","1,423.22","-","0.10%"
"2019년 04월 01일","1,430.24","1,417.66","1,431.55","1,410.52","-","2.49%"
"2019년 03월 29일","1,395.51","1,392.08","1,398.05","1,386.89","-","1.58%"
"2019년 03월 28일","1,373.80","1,380.17","1,391.14","1,365.16","-","-0.19%"
"2019년 03월 27일","1,376.48","1,398.52","1,402.08","1,366.69","-","-1.45%"
"2019년 03월 26일","1,396.75","1,399.85","1,408.74","1,386.32","-","1.01%"
"2019년 03월 25일","1,382.75","1,388.39","1,403.03","1,371.91","-","-1.26%"
"2019년 03월 22일","1,400.37","1,433.21","1,437.63","1,399.73","-","-2.88%"
"2019년 03월 21일","1,441.83","1,399.52","1,450.76","1,399.52","-","3.50%"
"2019년 03월 20일","1,393.01","1,410.12","1,413.82","1,384.87","-","-1.02%"
"2019년 03월 19일","1,407.35","1,398.55","1,411.68","1,398.55","-","1.34%"
"2019년 03월 18일","1,388.77","1,392.66","1,401.72","1,380.88","-","-0.26%"
"2019년 03월 15일","1,392.36","1,373.76","1,402.45","1,371.22","-","2.90%"
"2019년 03월 14일","1,353.06","1,362.22","1,367.08","1,352.57","-","-0.57%"
"2019년 03월 13일","1,360.77","1,362.75","1,371.33","1,358.83","-","0.42%"
"2019년 03월 12일","1,355.12","1,354.23","1,362.13","1,342.63","-","0.39%"
"2019년 03월 11일","1,349.88","1,325.95","1,355.81","1,324.48","-","2.40%"
"2019년 03월 08일","1,318.21","1,297.24","1,319.33","1,292.76","-","-0.07%"
"2019년 03월 07일","1,319.09","1,326.92","1,328.60","1,311.40","-","-1.10%"
"2019년 03월 06일","1,333.82","1,354.81","1,355.19","1,333.33","-","-1.70%"
"2019년 03월 05일","1,356.90","1,361.19","1,365.34","1,351.77","-","-0.47%"
"2019년 03월 04일","1,363.25","1,372.71","1,376.23","1,346.45","-","0.01%"
"2019년 03월 01일","1,363.13","1,365.62","1,368.84","1,348.73","-","0.96%"
"2019년 02월 28일","1,350.20","1,342.43","1,354.26","1,339.93","-","0.02%"
"2019년 02월 27일","1,349.87","1,358.90","1,359.15","1,336.09","-","-1.22%"
