"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 02월 01일","1,381.10","1,382.60","1,382.60","1,382.60","0.01K","-0.21%"
"2019년 01월 31일","1,384.00","1,366.30","1,366.40","1,366.30","0.08K","0.59%"
"2019년 01월 30일","1,375.90","1,377.60","1,377.60","1,377.60","0.06K","0.02%"
"2019년 01월 29일","1,375.60","1,351.00","1,354.40","1,351.00","0.20K","0.42%"
"2019년 01월 28일","1,369.80","1,348.70","1,348.70","1,348.70","0.00K","0.43%"
"2019년 01월 25일","1,364.00","1,360.00","1,360.00","1,360.00","0.01K","1.42%"
"2019년 01월 24일","1,344.90","1,324.70","1,325.10","1,324.70","0.05K","-0.33%"
"2019년 01월 23일","1,349.30","1,281.70","1,283.90","1,278.70","0.02K","0.07%"
"2019년 01월 22일","1,348.40","1,283.30","1,283.30","1,283.20","0.15K","5.42%"
"2019년 01월 21일","1,279.05","1,281.95","1,282.95","1,276.15","-","-0.23%"
"2019년 01월 20일","1,282.05","1,281.30","1,282.70","1,280.50","-","-4.90%"
"2019년 01월 18일","1,348.10","1,281.30","1,281.30","1,281.30","0.00K","-0.72%"
"2019년 01월 17일","1,357.90","1,339.20","1,339.20","1,339.00","0.03K","-0.10%"
"2019년 01월 16일","1,359.30","1,291.60","1,291.60","1,291.60","0.00K","0.41%"
